Paper_ID,Author_First,Authors_Middle,Author_Last,Year_Published,Title,Journal,Volume,Issue,Pages,DOI,Completed,Requested,Received,WhomReq,Note
CD001,Kuta KG,0,Richardson LL,1996,Abundance and distribution of black band disease on coral reefs in the northern Florida Keys,Coral Reefs,15,4,219-223,10.1007/BF01787455,0,,,,
CD002,Raymundo LJ,Licuanan WL,Kerr AM,2018,Adding insult to injury: Ship groundings are associated with coral disease in a pristine reef,PLOS ONE,13,11,e0207078,10.1371/journal.pone.0207078,0,,,,
CD003,Hein MY,"Lamb JB, Scott C",Willis BL,2015,Assessing baseline levels of coral health in a newly established marine protected area in a global scuba diving hotspot,Marine Environmental Research,103,,56-65,10.1016/j.marenvres.2014.11.0080141-1136,0,,,,
CD004,Page CA,"Field SN, Pollock FJ, Lamb JB, Shedrawi G",Wilson SK,2017,Assessing coral health and disease from digital photographs and in situ surveys,Environmental Monitoring and Assessment,189,,,10.1007/s10661-016-5743-z,0,,,,
CD005,Yee SH,Santavy SL,Barron MG,2011,Assessing the effects of disease and bleaching on Florida Keys corals by fitting population models to data,Ecological Modelling,222,7,1323-1332,10.1016/j.ecolmodel.2011.01.009,0,,,,prevalence reported per sp (because diseases only affect certain groups)
CD006,Aeby G,"Tribollet A, Lasne G",Work T,2015,Assessing threats from coral and crustose coralline algae disease on the reefs of New Caldonia,Marine and Freshwater Research,67,4,455-465,10.1071/MF14151,0,,,,
CD007,Weems JD,0,0,2011,"Assessment of mortality, bleaching, and disease among stony corals and fire corals of Dominican reefs: post-2005 Caribbean bleaching event",Bios,82,1,1-9,10.1893/011.082.0101,0,,,,prevalence reported per sp (because diseases only affect certain groups)
CD008,Kramer PA,Kramer PR,Ginsburg RN,2003,"Assessment of the Andros Island Reef System, Bahamas (Part 1: Stony Corals and Algae)",Atoll Research Bulletin,0,0,0,0,0,,,,only data for Bights utilized (other sites years confounded)
,Lohr KE,"McNab AC, Manfrino C",Patterson JT,2017,Assessment of wild and restored staghorn coral Acropora cervicornis across three reef zones in the Cayman Islands,Regional Studies in Marine Science,9,0,1-8,10.1016/j.rsma.2016.11.003 2352-4855,0,,,,
CD010,Williams DE,0,Miller MW,2012,Attributing mortality among drivers of population decline in Acropora palmata in the Florida Keys,Coral Reefs,31,0,369-382,10.1007/s00338-011-0847-y,0,,,,
