Effect_ID,Paper_ID,Disease_Prevalence,Unit_Prevalence,DiseasePrev_SE,SourcePrev,Year,Month,SourceYear,Location,SourceLocation,Region_HoeghGuldberg,Region_Kleypas,Lat,Lon,SourceLatLon,SST_C,SourceTemp,Notes
EI0001,CD001,0.72,%,,Results p220,1992,Jul,Results p220,Key Largo National Marine Sanctuary,Materials and Methods p220,Caribbean & Gulf of Mexico,Caribbean/Atlantic,,,,,,10 corals infected
EI0002,CD001,0.14,%,,Results p220,1992,Nov,Results p220,Key Largo National Marine Sanctuary,Materials and Methods p220,Caribbean & Gulf of Mexico,Caribbean/Atlantic,,,,,,2 corals infected
EI0003,CD001,0.36,%,,Results p220,1993,Jul,Results p220,Key Largo National Marine Sanctuary,Materials and Methods p220,Caribbean & Gulf of Mexico,Caribbean/Atlantic,,,,,,5 corals infected
EI0004,CD002,2.9,%,,Table 2,2015,0,Methods 2015 two-year post-grounding surveys,Tubbataha Reefs Natural Park,Introduction,Coral Triangle & SE Asia,Southeast Asia,8.806097,119.816592,"GoogleMaps TRNP South Atoll, Figure 1",,,USSG Ground Zero
EI0005,CD002,13.5,%,,Table 2,2015,0,Methods 2015 two-year post-grounding surveys,Tubbataha Reefs Natural Park,Introduction,Coral Triangle & SE Asia,Southeast Asia,8.806097,119.816592,"GoogleMaps TRNP South Atoll, Figure 1",,,USSG Impact Border
EI0006,CD002,1.6,%,,Table 2,2015,0,Methods 2015 two-year post-grounding surveys,Tubbataha Reefs Natural Park,Introduction,Coral Triangle & SE Asia,Southeast Asia,8.750452,119.827063,"GoogleMaps TRNP South Atoll, Figure 1",,,USSG Control (3-S)
EI0007,CD002,8.9,%,,Table 2,2015,0,Methods 2015 two-year post-grounding surveys,Tubbataha Reefs Natural Park,Introduction,Coral Triangle & SE Asia,Southeast Asia,8.8495217,119.914654,"GoogleMaps TRNP Ranger Station, Figure 1",,,MPY Ground Zero
EI0008,CD002,10.4,%,,Table 2,2015,0,Methods 2015 two-year post-grounding surveys,Tubbataha Reefs Natural Park,Introduction,Coral Triangle & SE Asia,Southeast Asia,8.8495217,119.914654,"GoogleMaps TRNP Ranger Station, Figure 1",,,MPY Impact Border
EI0009,CD002,2.4,%,,Table 2,2015,0,Methods 2015 two-year post-grounding surveys,Tubbataha Reefs Natural Park,Introduction,Coral Triangle & SE Asia,Southeast Asia,8.8495217,119.914654,"GoogleMaps TRNP Ranger Station, Figure 1",,,MPY Control (1-N)
EI0010,CD003,0.9028777,%,0.794964,"Figure 4, MPA",2013,Aug-Sep,Methods 2.1 p58,Koh Tau,Methods 2.1 p58,Coral Triangle & SE Asia,Southeast Asia,,,,,,Prevalence extracted using MetaDigitise in Rstudio
EI0011,CD003,0.528777,%,0.3561151,"Figure 4, non-MPA",2013,Aug-Sep,Methods 2.1 p58,Koh Tau,Methods 2.1 p58,Coral Triangle & SE Asia,Southeast Asia,,,,,,Prevalence extracted using MetaDigitise in Rstudio
EI0012,CD004,4.5,%,1.2,Results p4,2011,Dec,Methods in situ surveys of belt transects,"Montebello and Barrow Islands, NW Australia",Methods in situ surveys of belt transects,Eastern Indian Ocean,Australia,,,,,,
