Effect_ID,Paper_ID,DiseasePrev_SD,SST_SE,SST_SD,Sample_Area_km2,Site_Num,SourceSite_Num,Coral_N,Mixed_Sp,Notes
EI0001,CD001,,,,9.424,30,Results p220,1397,1,
EI0002,CD001,,,,9.424,30,Results p220,1397,1,
EI0003,CD001,,,,9.424,30,Results p220,1397,1,
EI0004,CD002,7.9,,,0.38,9,Methods 2015 two-year post-grounding surveys,285,1,Coral_N USSG Ground Zero and Impact Border combined
EI0005,CD002,5.4,,,0.38,9,Methods 2015 two-year post-grounding surveys,285,1,Coral_N USSG Ground Zero and Impact Border combined
EI0006,CD002,2.7,,,0.38,9,Methods 2015 two-year post-grounding surveys,529,1,USSG Control (3-S)
EI0007,CD002,10.2,,,0.38,9,Methods 2015 two-year post-grounding surveys,274,1,Coral_N MPY Ground Zero and Impact Border combined
EI0008,CD002,9.9,,,0.38,9,Methods 2015 two-year post-grounding surveys,274,1,Coral_N MPY Ground Zero and Impact Border combined
EI0009,CD002,0.1,,,0.38,9,Methods 2015 two-year post-grounding surveys,1339,1,MPY Control (1-N)
EI0010,CD003,1.3769181,,,0.54,3,Results 3.3.1 p60,6373,1,
EI0011,CD003,0.6168095,,,0.54,3,Results 3.3.1 p60,6373,1,
EI0012,CD004,,,,0.525,12,Figure 1,5498,1,
EI0013,CD006,,,,3.78,13,Table 1,47166,1,
EI0014,CD006,,,,3.6,12,Table 1,38251,1,
EI0015,CD008,3.2,,,,7,Table 2,744,1,
EI0016,CD008,7.3,,,,7,Table 2,558,1,
EI0017,CD007,,,,,16,Results p4,1403,1,
EI0018,CD007,,,,,16,Results p4,1403,1,
EI0019,CD007,,,,,16,Results p4,1403,1,
EI0020,CD007,,,,,16,Results p4,1403,1,
EI0021,CD007,,,,,16,Results p4,1403,1,
EI0022,CD007,,,,,16,Results p4,1403,1,
EI0023,CD007,,,,,16,Results p4,1403,1,
EI0024,CD007,,,,,16,Results p3,1416,1,
EI0025,CD007,,,,,16,Results p3,1416,1,
EI0026,CD007,,,,,16,Results p3,1416,1,
EI0027,CD007,,,,,16,Results p3,1416,1,
EI0028,CD007,,,,,16,Results p3,1416,1,
EI0029,CD007,,,,,16,Results p3,1416,1,
EI0030,CD010,6.236096,,,0.15,5,Materials and Methods Survey methods p370,556,0,
EI0031,CD010,7.015608,,,0.15,5,Materials and Methods Survey methods p370,468,0,
EI0032,CD010,4.677072,,,0.15,5,Materials and Methods Survey methods p370,373,0,
EI0033,CD010,6.236096,,,0.15,5,Materials and Methods Survey methods p370,337,0,
EI0034,CD010,7.79512,,,0.15,5,Materials and Methods Survey methods p370,318,0,
EI0035,CD010,7.79512,,,0.15,5,Materials and Methods Survey methods p370,298,0,
EI0037,CD012,0.096205,,,1.2,1,Materials and Methods Survey area,,1,1 site stated because the effect sizes are split by site for this paper
EI0038,CD012,0.09065472,,,1.2,1,Materials and Methods Survey area,,1,1 site stated because the effect sizes are split by site for this paper
EI0039,CD012,0,,,1.2,1,Materials and Methods Survey area,,1,1 site stated because the effect sizes are split by site for this paper
EI0040,CD013,,,,1.26,7,Table S1,21646,1,Area and coral number pooled from both effect sizes
EI0041,CD013,,,,1.26,7,Table S1,21646,1,Area and coral number pooled from both effect sizes
EI0042,CD014,49.22014885,,,0.75,1,Figure 5,,1,1 site stated because the effect sizes are split by site for this paper
EI0043,CD014,13.39535697,,,0.75,1,Figure 5,,1,1 site stated because the effect sizes are split by site for this paper
EI0044,CD014,8.09951816,,,0.75,1,Figure 5,,1,1 site stated because the effect sizes are split by site for this paper
EI0045,CD014,14.95295661,,,0.75,1,Figure 5,,1,1 site stated because the effect sizes are split by site for this paper
EI0046,CD014,16.82207619,,,0.75,1,Figure 5,,1,1 site stated because the effect sizes are split by site for this paper
EI0047,CD014,2.49215944,,,0.75,1,Figure 5,,1,1 site stated because the effect sizes are split by site for this paper
EI0048,CD014,12.46079718,,,0.75,1,Figure 5,,1,1 site stated because the effect sizes are split by site for this paper
EI0049,CD014,19.93727548,,,0.75,1,Figure 5,,1,1 site stated because the effect sizes are split by site for this paper
EI0050,CD014,0,,,0.75,1,Figure 5,,1,1 site stated because the effect sizes are split by site for this paper
EI0051,CD014,0,,,0.75,1,Figure 5,,1,1 site stated because the effect sizes are split by site for this paper
EI0052,CD017,,,,1.2,1,Methods 2.1 Description of sites p2,183,0,Only one species identified at site
EI0053,CD017,,,,1.2,1,Methods 2.1 Description of sites p2,183,0,Only one species identified at site
EI0054,CD017,,,,1.2,1,Methods 2.1 Description of sites p2,309,1,
EI0055,CD017,,,,1.2,1,Methods 2.1 Description of sites p2,309,1,
EI0056,CD018,2.1025641,,,,8,Materials and methods Disease surveys p830,,1,
EI0057,CD018,0.8184043,,,,5,Materials and methods Disease surveys p830,,1,
EI0058,CD018,0.43514263,,,,4,Materials and methods Disease surveys p830,,1,
EI0059,CD019,,,,1.35,9,"Materials and Methods Distribution, prevalence, and seasonality of MWS p2",,0,
EI0060,CD019,,,,1.35,9,"Materials and Methods Distribution, prevalence, and seasonality of MWS p2",,0,
EI0061,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0062,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0063,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0064,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0065,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0066,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0067,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0068,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0069,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0070,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0071,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0072,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0073,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0074,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0075,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0076,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0077,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0078,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0079,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
