PaperID,TaxonomicName,Family,Genus,ScientificName,Source,
CD072,Porites daedalea,Poritidae,Porites,Porites daedalea,,
CD072,Porites spp,Poritidae,Porites,,,
CD073,Acropora,Acroporidae,Acropora,,Table 2,
CD073,Astreopora,Acroporidae,Astreopora,,Table 2,
CD073,Montipora,Acroporidae,Montipora,,Table 2,
CD073,Pocillopora,Pocilloporidae,Pocillopora,,Table 2,
CD073,Gardineroseris,Agariciidae,Gardineroseris,,Table 2,
CD073,Favia,Faviidae,Favia,,Table 2,
CD073,Favites,Merulinidae,Favites,,Table 2,
CD073,Goniastrea,Merulinidae,Goniastrea,,Table 2,
CD073,Leptastrea,Leptastreidae,Leptastrea,,Table 2,
CD073,Platygyra,Merulinidae,Platygyra,,Table 2,
CD073,Hydnophora,Merulinidae,Hydnophora,,Table 2,
CD073,Porites,Poritidae,Porites,,Table 2,
CD074,Siderastrea siderea,Rhizangiidae,Siderastrea,Siderastrea siderea,Figure 2,
CD075,Montastraea cavernosa,Montastraeidae,Montastraea,Montastraea cavernosa,Figure 4,
CD075,Meandrina meandrites,Meandrinidae,Meandrina,Meandrina meandrites,Figure 4,
CD075,Acropora cervicornis,Acroporidae,Acropora,Acropora cervicornis,Results White syndrome outbreak coincides with coral community declines,
CD075,Dichocoenia stokesii,Meandrinidae,Dichocoenia,Dichocoenia stokesii,Figure 4,
CD075,Stephanocoenia intersepta,Astrocoeniidae,Stephanocoenia,Stephanocoenia intersepta,Figure 4,
CD075,Eusmilia fastigiata,Meandrinidae,Eusmilia,Eusmilia fastigiata,Figure 4,
CD075,Siderastrea siderea,Rhizangiidae,Siderastrea,Siderastrea siderea,Figure 4,
CD075,Agaricia sp,Agariciidae,Agaricia,,Figure 4,
CD075,Orbicella sp,Merulinidae,Orbicella,,Figure 4,
CD075,Solenastrea bournoni,,Solenastrea,Solenastrea bournoni,Figure 4,
CD076,Acropora cervicornis,Acroporidae,Acropora,,Table 1,
CD076,Acropora palmata,Acroporidae,Acropora,,Table 1,
CD076,Acropora prolifera,Acroporidae,Acropora,,Table 1,
CD076,Agaricia agaricites,Agariciidae,Agaricia,,Table 1,
CD076,Agaricia fragilis,Agariciidae,Agaricia,,Table 1,
CD076,Agaricia humilis,Agariciidae,Agaricia,,Table 1,
CD076,Agaricia lamarcki,Agariciidae,Agaricia,,Table 1,
CD076,Agaricia tenufolia,Agariciidae,Agaricia,,Table 1,
CD076,Agaricia undata,Agariciidae,Agaricia,,Table 1,
CD076,Colpophyllia natans,Faviidae,Colpophyllia,,Table 1,
CD076,Dendrogyra cylindrus,Meandrinidae,Dendrogyra,,Table 1,
CD076,Dichocoenia stokesi,Meandrinidae,Dichocoenia,Dichocoenia stokesii,Table 1,
CD076,Diploria clivosa,Faviidae,Diploria,,Table 1,
CD076,Diploria labyrinthiformes,Faviidae,Diploria,,Table 1,
CD076,Diploria strigosa,Faviidae,Diploria,,Table 1,
