Effect_ID,Paper_ID,Transect_Type,Transect_Num,Transect_Length_m,Transect_Width_m,Plot_area_m^2,SourceTransect,Notes
EI0001,CD001,Belt,1,62.832,2,125.664,Materials and Methods p220,
EI0002,CD001,Belt,1,62.832,2,125.664,Materials and Methods p220,
EI0003,CD001,Belt,1,62.832,2,125.664,Materials and Methods p220,
EI0004,CD002,Belt,9,10,1,10,Methods 2015 two-year post-grounding surveys,USSG Ground Zero
EI0005,CD002,Belt,7,10,1,10,Methods 2015 two-year post-grounding surveys,"USSG Impact Border east: n=4, west: n=3"
EI0006,CD002,Belt,3,20,1,20,Methods 2015 two-year post-grounding surveys,USSG Control (3-S)
EI0007,CD002,Belt,3,10,1,10,Methods 2015 two-year post-grounding surveys,MPY Ground Zero
EI0008,CD002,Belt,9,10,1,10,Methods 2015 two-year post-grounding surveys,"MPY Impact Border lagoonal: n=3, seaweed near: n=3, seaweed far: n=3"
EI0009,CD002,Belt,2,20,1,20,Methods 2015 two-year post-grounding surveys,MPY Control (1-N)
EI0010,CD003,Belt,3,15,2,30,Methods 2.1 p58,
EI0011,CD003,Belt,3,15,2,30,Methods 2.1 p58,
EI0012,CD004,Belt,3,15,1,15,Methods in situ surveys of belt transects,one site had 10m transects
EI0013,CD006,Belt,2,25,1,25,Materials and Methods Disease Surveys p456,
EI0014,CD006,Belt,2,25,1,25,Materials and Methods Disease Surveys p456,
EI0015,CD008,Line,10,10,,,"Methods p79, Table 2",
EI0017,CD007,Line,129,10,,,"Results p4, Methods p3",
EI0018,CD007,Line,129,10,,,"Results p4, Methods p3",
EI0019,CD007,Line,129,10,,,"Results p4, Methods p3",
EI0020,CD007,Line,129,10,,,"Results p4, Methods p3",
EI0021,CD007,Line,129,10,,,"Results p4, Methods p3",
EI0022,CD007,Line,129,10,,,"Results p4, Methods p3",
EI0023,CD007,Line,129,10,,,"Results p4, Methods p3",
EI0024,CD007,Line,132,10,,,"Results p3, Methods p3",
EI0025,CD007,Line,132,10,,,"Results p3, Methods p3",
EI0026,CD007,Line,132,10,,,"Results p3, Methods p3",
EI0027,CD007,Line,132,10,,,"Results p3, Methods p3",
EI0028,CD007,Line,132,10,,,"Results p3, Methods p3",
EI0029,CD007,Line,132,10,,,"Results p3, Methods p3",
EI0030,CD010,Circle,15,,,10,"Materials and Methods Survey methods p370-372, plots are circular",
EI0031,CD010,Circle,15,,,10,"Materials and Methods Survey methods p370-372, plots are circular",
EI0032,CD010,Circle,15,,,10,"Materials and Methods Survey methods p370-372, plots are circular",
EI0033,CD010,Circle,15,,,10,"Materials and Methods Survey methods p370-372, plots are circular",
EI0034,CD010,Circle,15,,,10,"Materials and Methods Survey methods p370-372, plots are circular",
EI0035,CD010,Circle,15,,,10,"Materials and Methods Survey methods p370-372, plots are circular",
EI0037,CD012,Belt,8,100,0.5,50,Materials and methods Disease surveys,
EI0038,CD012,Belt,8,100,0.5,50,Materials and methods Disease surveys,
EI0039,CD012,Belt,8,100,0.5,50,Materials and methods Disease surveys,
EI0040,CD013,Belt,3-6,20,1,20,Methods,
EI0041,CD013,Belt,3-6,20,1,20,Methods,
EI0042,CD014,Belt,3,25,1,25,Materials and Methods p97,
EI0043,CD014,Belt,3,25,1,25,Materials and Methods p97,
EI0044,CD014,Belt,3,25,1,25,Materials and Methods p97,
EI0045,CD014,Belt,3,25,1,25,Materials and Methods p97,
EI0046,CD014,Belt,3,25,1,25,Materials and Methods p97,
EI0047,CD014,Belt,3,25,1,25,Materials and Methods p97,
EI0048,CD014,Belt,3,25,1,25,Materials and Methods p97,
EI0049,CD014,Belt,3,25,1,25,Materials and Methods p97,
EI0050,CD014,Belt,3,25,1,25,Materials and Methods p97,
EI0051,CD014,Belt,3,25,1,25,Materials and Methods p97,
EI0052,CD017,Belt,2,25,6,150,"Methods 2.2 Disease prevalence and incidence p2, ran out of time, so estimated prevalence based on 25 x 2m transect",
EI0053,CD017,Belt,2,25,6,150,"Methods 2.2 Disease prevalence and incidence p2, ran out of time, so estimated prevalence based on 25 x 2m transect",
EI0054,CD017,Belt,2,25,6,150,"Methods 2.2 Disease prevalence and incidence p2, ran out of time, so estimated prevalence based on 25 x 2m transect",
EI0055,CD017,Belt,2,25,6,150,"Methods 2.2 Disease prevalence and incidence p2, ran out of time, so estimated prevalence based on 25 x 2m transect",
EI0056,CD018,Belt,2,25,1,25,Materials and Methods Disease surveys p830,
EI0057,CD018,Belt,2,25,1,25,Materials and Methods Disease surveys p830,
EI0058,CD018,Belt,2,25,1,25,Materials and Methods Disease surveys p830,
EI0059,CD019,Belt,2,25,6,150,"Materials and Methods Distribution, prevalence, and seasonality of MWS p2",
EI0060,CD019,Belt,2,25,6,150,"Materials and Methods Distribution, prevalence, and seasonality of MWS p2",
EI0061,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0062,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0063,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0064,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0065,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0066,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0067,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0068,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0069,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
